time,offerType
2022-03-07 11:25:59,3
2022-03-07 11:28:37,2
2022-03-07 11:28:54,3
2022-03-07 11:30:43,3
2022-03-07 11:32:40,1
2022-03-07 11:33:06,3
2022-03-07 11:33:41,2
2022-03-07 11:34:42,2
2022-03-07 11:36:01,3
2022-03-07 11:37:36,2
2022-03-07 11:43:23,2
2022-03-07 11:43:49,2
2022-03-07 11:46:42,2
2022-03-07 11:48:15,2
2022-03-07 11:48:36,3
2022-03-07 11:48:47,2
2022-03-07 11:57:03,3
2022-03-07 11:58:43,2
2022-03-07 11:58:52,3
2022-03-07 12:09:41,3
2022-03-07 12:11:04,3
2022-03-07 12:11:58,3
2022-03-07 12:13:24,2
2022-03-07 12:17:41,4
2022-03-07 12:18:31,3
2022-03-07 12:19:09,2
2022-03-07 12:19:47,2
2022-03-07 12:20:46,2
2022-03-07 12:23:17,2
2022-03-07 12:23:31,2
2022-03-07 12:25:16,2
2022-03-07 12:26:07,2
2022-03-07 12:30:13,2
2022-03-07 12:30:39,2
2022-03-07 12:31:13,2
2022-03-07 12:31:47,3
2022-03-07 12:35:03,2
2022-03-07 12:36:04,1
2022-03-07 12:36:35,2
2022-03-07 12:39:54,3
2022-03-07 12:42:13,2
2022-03-07 12:42:39,2
2022-03-07 12:43:23,3
2022-03-07 12:43:41,2
2022-03-07 12:43:47,3
2022-03-07 12:45:01,3
2022-03-07 12:45:59,3
2022-03-07 12:47:23,2
2022-03-07 12:48:24,2
2022-03-07 12:48:46,3
2022-03-07 12:49:42,3
2022-03-07 12:49:57,2
2022-03-07 12:51:20,3
2022-03-07 12:52:41,3
2022-03-07 12:52:46,3
2022-03-07 12:54:14,3
2022-03-07 12:55:29,3
2022-03-07 12:56:36,2
2022-03-07 12:58:35,2
2022-03-07 12:59:31,2
2022-03-07 13:00:10,3
2022-03-07 13:04:06,2
2022-03-07 13:07:44,0
2022-03-07 13:11:33,3
2022-03-07 13:12:21,3
2022-03-07 13:16:19,3
2022-03-07 13:22:11,3
2022-03-07 13:22:32,2
2022-03-07 13:24:46,3
2022-03-07 13:27:10,3
2022-03-07 13:32:34,2
2022-03-07 13:32:35,3
2022-03-07 13:37:57,2
2022-03-07 13:39:45,2
2022-03-07 13:41:00,2
2022-03-07 13:42:07,1
2022-03-07 13:42:35,3
2022-03-07 13:47:42,2
2022-03-07 13:50:37,2
2022-03-07 13:51:09,2
2022-03-07 13:51:41,3
2022-03-07 13:53:38,3
2022-03-07 13:56:06,1
2022-03-07 13:56:47,2
2022-03-07 13:57:12,2
2022-03-07 13:57:25,2
2022-03-07 13:58:58,2
2022-03-07 13:59:00,4
2022-03-07 14:02:03,3
2022-03-07 14:02:36,2
2022-03-07 14:03:01,2
2022-03-07 14:03:41,2
2022-03-07 14:06:44,3
2022-03-07 14:07:02,2
2022-03-07 14:07:05,3
2022-03-07 14:07:06,3
2022-03-07 14:07:27,3
2022-03-07 14:07:56,2
2022-03-07 14:09:53,2
2022-03-07 14:11:44,3
2022-03-07 14:11:44,3
2022-03-07 14:12:33,3
2022-03-07 14:12:53,2
2022-03-07 14:13:38,2
2022-03-07 14:13:58,2
2022-03-07 14:14:28,2
2022-03-07 14:16:33,2
2022-03-07 14:16:53,3
2022-03-07 14:17:11,2
2022-03-07 14:17:38,3
2022-03-07 14:19:00,3
2022-03-07 14:19:21,2
2022-03-07 14:19:43,2
2022-03-07 14:20:59,2
2022-03-07 14:20:59,3
2022-03-07 14:21:10,2
2022-03-07 14:23:32,3
2022-03-07 14:24:47,3
2022-03-07 14:25:23,3
2022-03-07 14:26:40,2
2022-03-07 14:27:27,2
2022-03-07 14:27:31,2
2022-03-07 14:28:15,2
2022-03-07 14:31:30,3
2022-03-07 14:32:53,2
2022-03-07 14:33:03,2
2022-03-07 14:33:06,3
2022-03-07 14:33:27,0
2022-03-07 14:33:37,3
2022-03-07 14:36:28,2
2022-03-07 14:37:13,2
2022-03-07 14:38:46,3
2022-03-07 14:39:45,2
2022-03-07 14:41:03,2
2022-03-07 14:41:28,3
2022-03-07 14:42:26,3
2022-03-07 14:44:45,2
2022-03-07 14:45:05,3
2022-03-07 14:45:32,2
2022-03-07 14:46:21,3
2022-03-07 14:46:29,3
2022-03-07 14:46:56,3
2022-03-07 14:47:13,2
2022-03-07 14:48:14,2
2022-03-07 14:48:28,2
2022-03-07 14:49:34,3
2022-03-07 14:49:51,3
2022-03-07 14:50:52,2
2022-03-07 14:51:50,3
2022-03-07 14:52:47,2
2022-03-07 14:53:31,2
2022-03-07 14:54:51,2
2022-03-07 14:55:31,2
2022-03-07 14:58:02,2
2022-03-07 14:58:14,3
2022-03-07 14:58:27,2
2022-03-07 14:58:35,2
2022-03-07 14:58:40,3
2022-03-07 14:59:24,2
2022-03-07 14:59:33,2
2022-03-07 15:01:21,3
2022-03-07 15:01:27,3
2022-03-07 15:01:43,2
2022-03-07 15:02:09,2
2022-03-07 15:02:15,0
2022-03-07 15:02:35,1
2022-03-07 15:02:43,2
2022-03-07 15:03:00,2
2022-03-07 15:03:10,2
2022-03-07 15:03:12,2
2022-03-07 15:03:22,3
2022-03-07 15:04:27,3
2022-03-07 15:05:48,4
2022-03-07 15:06:50,2
2022-03-07 15:07:02,2
2022-03-07 15:10:02,2
2022-03-07 15:10:17,2
2022-03-07 15:10:17,0
2022-03-07 15:10:47,2
2022-03-07 15:11:59,3
2022-03-07 15:12:38,3
2022-03-07 15:12:41,4
2022-03-07 15:13:26,3
2022-03-07 15:14:21,3
2022-03-07 15:14:49,2
2022-03-07 15:16:58,3
2022-03-07 15:17:44,2
2022-03-07 15:19:13,2
2022-03-07 15:19:29,2
2022-03-07 15:20:04,2
2022-03-07 15:20:57,3
2022-03-07 15:21:25,3
2022-03-07 15:21:37,2
2022-03-07 15:22:01,2
2022-03-07 15:22:07,3
2022-03-07 15:22:14,3
2022-03-07 15:22:20,3
2022-03-07 15:22:44,3
2022-03-07 15:23:14,0
2022-03-07 15:23:35,3
2022-03-07 15:24:04,2
2022-03-07 15:24:39,2
2022-03-07 15:25:34,2
2022-03-07 15:26:14,3
2022-03-07 15:26:22,2
2022-03-07 15:27:12,3
2022-03-07 15:28:07,3
2022-03-07 15:28:53,3
2022-03-07 15:31:17,3
2022-03-07 15:31:28,3
2022-03-07 15:31:48,3
2022-03-07 15:32:22,3
2022-03-07 15:32:28,3
2022-03-07 15:32:37,3
2022-03-07 15:33:14,2
2022-03-07 15:33:50,1
2022-03-07 15:34:10,1
2022-03-07 15:35:05,3
2022-03-07 15:35:15,2
2022-03-07 15:37:06,3
2022-03-07 15:37:34,2
2022-03-07 15:39:03,2
2022-03-07 15:39:20,4
2022-03-07 15:39:55,3
2022-03-07 15:40:13,3
2022-03-07 15:40:33,3
2022-03-07 15:40:50,3
2022-03-07 15:41:21,2
2022-03-07 15:41:29,2
2022-03-07 15:41:40,3
2022-03-07 15:42:33,2
2022-03-07 15:44:01,2
2022-03-07 15:44:18,2
2022-03-07 15:44:45,2
2022-03-07 15:44:47,2
2022-03-07 15:45:30,2
2022-03-07 15:46:35,3
2022-03-07 15:48:13,3
2022-03-07 15:48:40,3
2022-03-07 15:49:51,3
2022-03-07 15:50:39,2
2022-03-07 15:50:50,3
2022-03-07 15:50:51,3
2022-03-07 15:52:05,2
2022-03-07 15:52:27,3
2022-03-07 15:53:14,3
2022-03-07 15:53:28,3
2022-03-07 15:54:00,3
2022-03-07 15:54:15,3
2022-03-07 15:54:33,2
2022-03-07 15:55:07,2
2022-03-07 15:55:27,2
2022-03-07 15:59:31,3
2022-03-07 15:59:34,3
2022-03-07 16:01:11,2
2022-03-07 16:02:31,2
2022-03-07 16:07:46,2
2022-03-07 16:08:49,1
2022-03-07 16:10:59,3
2022-03-07 16:11:21,2
2022-03-07 16:13:16,0
2022-03-07 16:14:37,3
2022-03-07 16:15:22,3
2022-03-07 16:16:06,3
2022-03-07 16:20:28,2
2022-03-07 16:24:48,3
2022-03-07 16:25:35,3
2022-03-07 16:25:58,2
2022-03-07 16:26:38,3
2022-03-07 16:28:27,3
2022-03-07 16:29:23,3
2022-03-07 16:34:54,1
2022-03-07 16:34:56,3
2022-03-07 16:35:17,2
2022-03-07 16:35:34,2
2022-03-07 16:35:59,3
2022-03-07 16:39:02,3
2022-03-07 16:42:42,2
2022-03-07 16:45:17,2
2022-03-07 16:46:00,2
2022-03-07 16:47:44,3
2022-03-07 16:47:48,2
2022-03-07 16:54:49,3
2022-03-07 16:57:42,3
2022-03-07 16:58:53,2
2022-03-07 16:59:23,3
2022-03-07 16:59:44,3
2022-03-07 17:00:21,3
2022-03-07 17:01:17,2
2022-03-07 17:01:22,3
2022-03-07 17:01:43,3
2022-03-07 17:02:20,3
2022-03-07 17:02:34,2
2022-03-07 17:03:50,2
2022-03-07 17:05:15,2
2022-03-07 17:06:27,2
2022-03-07 17:06:34,2
2022-03-07 17:10:16,3
2022-03-07 17:10:42,3
2022-03-07 17:10:57,2
2022-03-07 17:11:22,3
2022-03-07 17:11:39,3
2022-03-07 17:12:18,2
2022-03-07 17:13:18,2
2022-03-07 17:14:06,2
2022-03-07 17:14:23,0
2022-03-07 17:15:00,2
2022-03-07 17:15:10,2
2022-03-07 17:16:05,2
2022-03-07 17:17:05,0
2022-03-07 17:18:16,3
2022-03-08 08:30:00,3
2022-03-08 08:30:24,2
2022-03-08 08:33:12,3
2022-03-08 08:33:35,2
2022-03-08 08:35:24,2
2022-03-08 08:37:54,2
2022-03-08 08:37:54,2
2022-03-08 08:38:11,2
2022-03-08 08:40:03,3
2022-03-08 08:40:31,3
2022-03-08 08:42:04,2
2022-03-08 08:42:11,2
2022-03-08 08:43:30,3
2022-03-08 08:46:28,2
2022-03-08 08:48:05,3
2022-03-08 08:50:21,2
2022-03-08 08:53:12,1
2022-03-08 08:53:47,2
2022-03-08 08:53:58,2
2022-03-08 08:53:59,2
2022-03-08 08:57:14,1
2022-03-08 08:57:19,2
2022-03-08 08:57:53,3
2022-03-08 08:59:12,4
2022-03-08 08:59:44,2
2022-03-08 08:59:48,2
2022-03-08 09:00:37,2
2022-03-08 09:01:01,2
2022-03-08 09:01:02,2
2022-03-08 09:02:18,3
2022-03-08 09:03:05,2
2022-03-08 09:03:39,3
2022-03-08 09:03:59,2
2022-03-08 09:04:42,3
2022-03-08 09:04:55,3
2022-03-08 09:05:34,1
2022-03-08 09:06:37,2
2022-03-08 09:09:52,2
2022-03-08 09:11:02,3
2022-03-08 09:13:02,3
2022-03-08 09:13:05,3
2022-03-08 09:13:37,3
2022-03-08 09:13:43,3
2022-03-08 09:14:03,2
2022-03-08 09:14:08,3
2022-03-08 09:15:41,3
2022-03-08 09:16:15,3
2022-03-08 09:16:43,3
2022-03-08 09:16:55,2
2022-03-08 09:17:05,2
2022-03-08 09:17:14,0
2022-03-08 09:18:27,3
2022-03-08 09:18:33,3
2022-03-08 09:18:50,2
2022-03-08 09:19:19,3
2022-03-08 09:20:16,2
2022-03-08 09:20:35,3
2022-03-08 09:20:42,0
2022-03-08 09:21:30,2
2022-03-08 09:22:51,2
2022-03-08 09:23:20,2
2022-03-08 09:24:01,2
2022-03-08 09:24:39,3
2022-03-08 09:25:25,3
2022-03-08 09:25:58,3
2022-03-08 09:26:07,2
2022-03-08 09:26:26,3
2022-03-08 09:27:25,2
2022-03-08 09:28:06,2
2022-03-08 09:28:11,2
2022-03-08 09:28:28,3
2022-03-08 09:28:36,2
2022-03-08 09:28:54,2
2022-03-08 09:29:10,2
2022-03-08 09:29:11,3
2022-03-08 09:29:34,3
2022-03-08 09:30:22,3
2022-03-08 09:30:32,3
2022-03-08 09:30:52,3
2022-03-08 09:32:07,2
2022-03-08 09:32:26,2
2022-03-08 09:33:57,2
2022-03-08 09:33:58,3
2022-03-08 09:34:28,2
2022-03-08 09:35:20,2
2022-03-08 09:35:50,2
2022-03-08 09:36:52,2
2022-03-08 09:37:02,3
2022-03-08 09:37:42,3
2022-03-08 09:38:23,3
2022-03-08 09:39:12,3
2022-03-08 09:39:52,4
2022-03-08 09:40:08,3
2022-03-08 09:40:35,3
2022-03-08 09:41:45,2
2022-03-08 09:41:56,2
2022-03-08 09:42:25,4
2022-03-08 09:42:34,3
2022-03-08 09:42:41,3
2022-03-08 09:42:54,3
2022-03-08 09:43:12,3
2022-03-08 09:44:02,4
2022-03-08 09:44:27,2
2022-03-08 09:44:49,2
2022-03-08 09:46:08,2
2022-03-08 09:46:44,2
2022-03-08 09:47:03,2
2022-03-08 09:47:12,2
2022-03-08 09:47:15,0
2022-03-08 09:47:16,3
2022-03-08 09:47:38,3
2022-03-08 09:47:43,2
2022-03-08 09:48:18,2
2022-03-08 09:48:45,3
2022-03-08 09:49:51,4
2022-03-08 09:50:06,0
2022-03-08 09:51:10,2
2022-03-08 09:51:14,3
2022-03-08 09:51:33,2
2022-03-08 09:51:42,1
2022-03-08 09:52:02,2
2022-03-08 09:53:03,2
2022-03-08 09:53:50,2
2022-03-08 09:59:30,3
2022-03-08 09:59:35,2
2022-03-08 10:00:26,2
2022-03-08 10:00:37,3
2022-03-08 10:01:06,2
2022-03-08 10:01:21,3
2022-03-08 10:01:27,2
2022-03-08 10:01:35,2
2022-03-08 10:04:44,2
2022-03-08 10:05:15,3
2022-03-08 10:05:47,3
2022-03-08 10:05:57,0
2022-03-08 10:08:33,2
2022-03-08 10:09:00,2
2022-03-08 10:13:01,3
2022-03-08 10:13:41,1
2022-03-08 10:14:03,3
2022-03-08 10:16:57,3
2022-03-08 10:17:48,0
2022-03-08 10:19:53,2
2022-03-08 10:20:00,2
2022-03-08 10:20:11,3
2022-03-08 10:20:19,1
2022-03-08 10:21:46,2
2022-03-08 10:22:29,1
2022-03-08 10:22:51,2
2022-03-08 10:22:54,3
2022-03-08 10:23:56,2
2022-03-08 10:24:41,2
2022-03-08 10:25:09,3
2022-03-08 10:25:11,3
2022-03-08 10:25:31,3
2022-03-08 10:27:48,3
2022-03-08 10:28:27,3
2022-03-08 10:29:05,2
2022-03-08 10:29:26,2
2022-03-08 10:29:33,2
2022-03-08 10:30:00,2
2022-03-08 10:30:01,2
2022-03-08 10:30:25,3
2022-03-08 10:30:29,3
2022-03-08 10:30:33,2
2022-03-08 10:30:48,2
2022-03-08 10:30:51,3
2022-03-08 10:31:13,3
2022-03-08 10:32:08,3
2022-03-08 10:32:46,4
2022-03-08 10:33:22,1
2022-03-08 10:33:39,3
2022-03-08 10:33:43,3
2022-03-08 10:34:07,2
2022-03-08 10:34:20,1
2022-03-08 10:34:59,3
2022-03-08 10:36:00,2
2022-03-08 10:36:02,3
2022-03-08 10:36:56,2
2022-03-08 10:37:08,3
2022-03-08 10:37:27,0
2022-03-08 10:37:46,3
2022-03-08 10:38:28,2
2022-03-08 10:38:39,3
2022-03-08 10:39:37,2
2022-03-08 10:40:08,2
2022-03-08 10:40:11,3
2022-03-08 10:40:50,2
2022-03-08 10:42:15,0
2022-03-08 10:42:51,2
2022-03-08 10:42:59,2
2022-03-08 10:44:06,3
2022-03-08 10:44:08,3
2022-03-08 10:45:05,0
2022-03-08 10:46:00,0
2022-03-08 10:48:04,2
2022-03-08 10:48:09,0
2022-03-08 10:48:25,3
2022-03-08 10:48:31,2
2022-03-08 10:48:46,3
2022-03-08 10:49:48,2
2022-03-08 10:49:50,3
2022-03-08 10:49:52,3
2022-03-08 10:50:13,3
2022-03-08 10:50:52,3
2022-03-08 10:51:10,3
2022-03-08 10:52:11,2
2022-03-08 10:52:14,2
2022-03-08 10:52:29,2
2022-03-08 10:53:56,0
2022-03-08 10:54:11,2
2022-03-08 10:55:32,2
2022-03-08 10:56:24,2
2022-03-08 10:57:09,2
2022-03-08 10:57:13,3
2022-03-08 10:57:17,2
2022-03-08 10:57:26,3
2022-03-08 10:57:48,2
2022-03-08 10:58:50,3
2022-03-08 10:59:37,2
2022-03-08 11:00:12,3
